,DBID,LS-Top0,LS-Top1,LS-Top2,LS-Top3,LS-Top4,LS-Top5,LS-Top6,LS-Top7,LS-Top8,LS-Top9,PS-Top0,PS-Top1,PS-Top2,PS-Top3,PS-Top4,PS-Top5,PS-Top6,PS-Top7,PS-Top8,PS-Top9
0,DBID(1002089510)_INSTID(1).csv,2080031,2080020,2080027,2080057,2080025,2080021,2080061,2080026,2080028,2080049,2080047,2080024,2080026,2080027,2080031,2080057,2080025,2080049,2080053,2080063
1,DBID(1227435885)_INSTID(1).csv,2080032,2080025,2080030,2080027,2080053,2080028,2080052,2080021,2080020,2080057,2080049,2080050,2080057,2080040,2080024,2080033,2080025,2080034,2080022,2080046
2,DBID(1227435885)_INSTID(2).csv,2080029,2080033,2080040,2080025,2080021,2080034,2080032,2080041,2080031,2080027,2080049,2080029,2080047,2080050,2080024,2080062,2080055,2080057,2080034,2080022
3,DBID(1254139675)_INSTID(1).csv,2080025,2080027,2080049,2080033,2080031,2080058,2080021,2080050,2080020,2080028,2080058,2080021,2080061,2080050,2080059,2080064,2080057,2080055,2080020,2080053
4,DBID(1384807946)_INSTID(1).csv,2080020,2080031,2080025,2080063,2080026,2080057,2080050,2080021,2080058,2080047,2080021,2080058,2080050,2080020,2080031,2080061,2080059,2080057,2080062,2080063
5,DBID(1624869053)_INSTID(1).csv,2080021,2080020,2080025,2080026,2080031,2080032,2080063,2080052,2080024,2080057,2080048,2080026,2080031,2080025,2080024,2080020,2080057,2080021,2080056,2080032
6,DBID(1636599671)_INSTID(1).csv,2080032,2080025,2080027,2080020,2080030,2080053,2080031,2080026,2080024,2080021,2080049,2080046,2080047,2080042,2080057,2080034,2080040,2080044,2080045,2080058
7,DBID(1636599671)_INSTID(2).csv,2080020,2080025,2080032,2080026,2080031,2080052,2080053,2080027,2080033,2080040,2080049,2080021,2080033,2080040,2080041,2080046,2080064,2080056,2080024,2080057
8,DBID(172908691)_INSTID(1).csv,2080027,2080028,2080030,2080031,2080057,2080021,2080053,2080026,2080049,2080020,2080049,2080046,2080024,2080030,2080057,2080028,2080053,2080056,2080055,2080063
9,DBID(1855232979)_INSTID(1).csv,2080052,2080022,2080025,2080050,2080024,2080062,2080020,2080032,2080059,2080031,2080041,2080040,2080033,2080022,2080056,2080024,2080050,2080059,2080032,2080062
10,DBID(1982696497)_INSTID(1).csv,2080033,2080020,2080021,2080027,2080031,2080058,2080053,2080052,2080061,2080059,2080057,2080024,2080031,2080047,2080027,2080049,2080025,2080026,2080056,2080058
11,DBID(2031853600)_INSTID(1).csv,2080031,2080061,2080027,2080021,2080020,2080028,2080052,2080053,2080025,2080058,2080046,2080024,2080031,2080025,2080026,2080027,2080048,2080057,2080049,2080029
12,DBID(2052255707)_INSTID(1).csv,2080021,2080020,2080031,2080028,2080027,2080053,2080052,2080059,2080033,2080062,2080046,2080024,2080031,2080026,2080027,2080025,2080049,2080057,2080059,2080053
13,DBID(2238741707)_INSTID(1).csv,2080033,2080032,2080021,2080040,2080026,2080041,2080027,2080028,2080031,2080025,2080049,2080026,2080050,2080021,2080055,2080032,2080031,2080020,2080027,2080028
14,DBID(2238741707)_INSTID(2).csv,2080033,2080032,2080040,2080028,2080021,2080027,2080026,2080041,2080029,2080031,2080049,2080027,2080031,2080021,2080050,2080026,2080025,2080029,2080055,2080041
15,DBID(2328880794)_INSTID(1).csv,2080021,2080020,2080031,2080027,2080058,2080025,2080028,2080053,2080057,2080049,2080046,2080024,2080026,2080031,2080057,2080027,2080049,2080025,2080053,2080052
16,DBID(2413621137)_INSTID(1).csv,2080033,2080021,2080020,2080027,2080031,2080053,2080052,2080061,2080025,2080029,2080024,2080031,2080047,2080025,2080027,2080057,2080049,2080026,2080056,2080046
17,DBID(2612437783)_INSTID(1).csv,2080021,2080020,2080031,2080028,2080058,2080027,2080025,2080053,2080057,2080056,2080047,2080024,2080049,2080057,2080026,2080027,2080031,2080025,2080053,2080052
18,DBID(2644427317)_INSTID(1).csv,2080032,2080025,2080057,2080033,2080040,2080020,2080061,2080031,2080027,2080041,2080033,2080040,2080057,2080020,2080041,2080061,2080021,2080027,2080025,2080026
19,DBID(2707003786)_INSTID(1).csv,2080021,2080027,2080031,2080029,2080033,2080058,2080025,2080020,2080052,2080053,2080046,2080024,2080047,2080057,2080031,2080025,2080049,2080026,2080027,2080048
20,DBID(2762567375)_INSTID(1).csv,2080031,2080026,2080041,2080021,2080040,2080024,2080022,2080027,2080029,2080028,2080042,2080044,2080043,2080045,2080029,2080040,2080022,2080021,2080041,2080024
